order_id,customer_id,order_date,status,payment_mode,shipping_city,shipping_state
147,191,3/21/2023,Cancelled,EMI,Indore,Madhya Pradesh
148,26,9/8/2023,Cancelled,UPI,Hyderabad,Telangana
149,9,12/20/2023,Processing,Debit Card,Indore,Madhya Pradesh
150,114,8/16/2023,Delivered,UPI,Surat,Gujarat
151,26,12/18/2023,Processing,Cash on Delivery,Hyderabad,Telangana
152,166,7/3/2023,Delivered,Net Banking,Hyderabad,Telangana
153,71,4/8/2023,Delivered,Net Banking,Chandigarh,Punjab
154,24,12/6/2023,Delivered,EMI,Indore,Madhya Pradesh
155,164,11/2/2023,Delivered,Credit Card,Kolkata,West Bengal
156,86,5/5/2023,Delivered,Cash on Delivery,Mumbai,Maharashtra
157,53,2/5/2023,Delivered,Cash on Delivery,Chandigarh,Punjab
158,56,4/30/2023,Processing,Debit Card,Chandigarh,Punjab
159,153,1/2/2023,Shipped,Debit Card,Bhopal,Madhya Pradesh
160,34,10/4/2023,Shipped,Debit Card,Kolkata,West Bengal
161,29,12/5/2023,Delivered,Debit Card,Nagpur,Maharashtra
162,4,7/3/2023,Delivered,Cash on Delivery,Mumbai,Maharashtra
163,83,1/9/2023,Delivered,UPI,Indore,Madhya Pradesh
164,14,3/6/2023,Cancelled,Cash on Delivery,Jaipur,Rajasthan
165,30,2/2/2023,Returned,Net Banking,Hyderabad,Telangana
166,200,7/5/2023,Delivered,Net Banking,Mumbai,Maharashtra
167,129,4/24/2023,Delivered,EMI,Kolkata,West Bengal
168,169,9/24/2023,Shipped,Net Banking,Bhopal,Madhya Pradesh
169,165,1/16/2023,Delivered,Net Banking,Nagpur,Maharashtra
170,103,8/7/2023,Delivered,Net Banking,Bangalore,Karnataka
171,183,8/16/2023,Delivered,Credit Card,Kolkata,West Bengal
172,83,11/8/2023,Delivered,Credit Card,Indore,Madhya Pradesh
173,33,5/21/2023,Processing,Net Banking,Jaipur,Rajasthan
174,153,9/29/2023,Shipped,Net Banking,Bhopal,Madhya Pradesh
175,130,11/6/2023,Cancelled,Credit Card,Hyderabad,Telangana
176,180,2/28/2023,Delivered,Net Banking,Indore,Madhya Pradesh
177,116,4/27/2023,Cancelled,UPI,Mumbai,Maharashtra
178,117,7/24/2023,Cancelled,EMI,Jaipur,Rajasthan
179,25,6/10/2023,Cancelled,UPI,Kolkata,West Bengal
180,171,5/11/2023,Processing,Debit Card,Lucknow,Uttar Pradesh
181,176,8/31/2023,Delivered,Credit Card,Ahmedabad,Gujarat
182,22,2/17/2023,Cancelled,Credit Card,Surat,Gujarat
183,191,7/10/2023,Delivered,Cash on Delivery,Indore,Madhya Pradesh
184,16,10/28/2023,Processing,EMI,Nagpur,Maharashtra
185,32,7/30/2023,Processing,EMI,Chennai,Tamil Nadu
186,193,8/5/2023,Delivered,UPI,Mumbai,Maharashtra
187,154,6/9/2023,Processing,Credit Card,Ahmedabad,Gujarat
188,148,9/17/2023,Delivered,Debit Card,Indore,Madhya Pradesh
189,169,9/4/2023,Delivered,Credit Card,Bhopal,Madhya Pradesh
190,90,10/12/2023,Processing,Credit Card,Delhi,Delhi
191,196,5/23/2023,Delivered,Net Banking,Chennai,Tamil Nadu
192,144,11/15/2023,Delivered,Cash on Delivery,Kolkata,West Bengal
193,169,12/22/2023,Shipped,Credit Card,Bhopal,Madhya Pradesh
194,47,5/20/2023,Shipped,UPI,Hyderabad,Telangana
195,90,1/4/2023,Delivered,Debit Card,Delhi,Delhi
196,145,12/3/2023,Cancelled,Credit Card,Lucknow,Uttar Pradesh
197,37,11/21/2023,Delivered,Credit Card,Bangalore,Karnataka
198,192,9/29/2023,Delivered,Net Banking,Nagpur,Maharashtra
199,108,8/21/2023,Processing,Debit Card,Indore,Madhya Pradesh
200,95,6/9/2023,Processing,Cash on Delivery,Hyderabad,Telangana
201,153,2/13/2023,Delivered,Debit Card,Bhopal,Madhya Pradesh
202,41,11/13/2023,Delivered,EMI,Surat,Gujarat
203,21,5/20/2023,Returned,EMI,Bangalore,Karnataka
204,109,9/6/2023,Returned,Net Banking,Chennai,Tamil Nadu
205,70,4/21/2023,Delivered,UPI,Pune,Maharashtra
206,111,2/26/2023,Shipped,EMI,Jaipur,Rajasthan
207,174,10/31/2023,Returned,Cash on Delivery,Chandigarh,Punjab
208,171,6/7/2023,Delivered,Debit Card,Lucknow,Uttar Pradesh
209,102,11/3/2023,Delivered,Credit Card,Nagpur,Maharashtra
210,53,6/4/2023,Delivered,Debit Card,Chandigarh,Punjab
211,196,5/11/2023,Shipped,UPI,Chennai,Tamil Nadu
212,31,1/4/2023,Returned,EMI,Nagpur,Maharashtra
213,111,3/31/2023,Delivered,Net Banking,Jaipur,Rajasthan
214,137,12/27/2023,Delivered,Cash on Delivery,Bangalore,Karnataka
215,144,12/9/2023,Processing,Credit Card,Kolkata,West Bengal
216,102,1/22/2023,Cancelled,Credit Card,Nagpur,Maharashtra
217,118,2/9/2023,Processing,Cash on Delivery,Lucknow,Uttar Pradesh
218,110,10/21/2023,Cancelled,EMI,Hyderabad,Telangana
219,164,8/2/2023,Shipped,Credit Card,Kolkata,West Bengal
220,104,1/11/2023,Processing,Debit Card,Indore,Madhya Pradesh
221,159,8/24/2023,Processing,Credit Card,Hyderabad,Telangana
222,112,2/24/2023,Delivered,Net Banking,Delhi,Delhi
223,151,7/25/2023,Delivered,Net Banking,Chennai,Tamil Nadu
224,80,6/23/2023,Delivered,UPI,Hyderabad,Telangana
225,200,3/28/2023,Delivered,Cash on Delivery,Mumbai,Maharashtra
226,163,2/28/2023,Delivered,UPI,Indore,Madhya Pradesh
227,90,11/27/2023,Delivered,Debit Card,Delhi,Delhi
228,27,3/16/2023,Shipped,Debit Card,Hyderabad,Telangana
229,45,11/5/2023,Delivered,EMI,Jaipur,Rajasthan
230,20,4/1/2023,Returned,Net Banking,Ahmedabad,Gujarat
231,194,10/16/2023,Returned,EMI,Surat,Gujarat
232,145,11/26/2023,Processing,EMI,Lucknow,Uttar Pradesh
233,81,3/19/2023,Returned,Credit Card,Bangalore,Karnataka
234,121,8/15/2023,Shipped,UPI,Hyderabad,Telangana
235,152,1/29/2023,Processing,Cash on Delivery,Chennai,Tamil Nadu
236,19,6/8/2023,Returned,Net Banking,Chandigarh,Punjab
237,10,1/30/2023,Processing,UPI,Bangalore,Karnataka
238,20,11/27/2023,Delivered,Cash on Delivery,Ahmedabad,Gujarat
239,153,9/17/2023,Cancelled,Net Banking,Bhopal,Madhya Pradesh
240,149,10/11/2023,Delivered,Net Banking,Hyderabad,Telangana
241,147,11/30/2023,Delivered,UPI,Surat,Gujarat
242,155,9/1/2023,Delivered,Credit Card,Jaipur,Rajasthan
243,116,2/22/2023,Processing,EMI,Mumbai,Maharashtra
244,22,9/16/2023,Delivered,Credit Card,Surat,Gujarat
245,64,12/29/2023,Returned,Net Banking,Delhi,Delhi
246,135,9/25/2023,Delivered,UPI,Kolkata,West Bengal
247,96,5/25/2023,Cancelled,Net Banking,Hyderabad,Telangana
248,199,6/23/2023,Delivered,EMI,Ahmedabad,Gujarat
249,166,6/21/2023,Delivered,UPI,Hyderabad,Telangana
250,25,10/13/2023,Cancelled,UPI,Kolkata,West Bengal
251,65,12/3/2023,Delivered,UPI,Delhi,Delhi
252,21,10/26/2023,Delivered,UPI,Bangalore,Karnataka
253,80,12/2/2023,Cancelled,Debit Card,Hyderabad,Telangana
254,153,12/29/2023,Delivered,UPI,Bhopal,Madhya Pradesh
255,144,7/12/2023,Processing,Debit Card,Kolkata,West Bengal
256,172,12/26/2023,Delivered,EMI,Ahmedabad,Gujarat
257,172,8/5/2023,Processing,Credit Card,Ahmedabad,Gujarat
258,93,6/8/2023,Delivered,Debit Card,Lucknow,Uttar Pradesh
259,88,9/6/2023,Delivered,Debit Card,Bangalore,Karnataka
260,36,3/21/2023,Delivered,UPI,Delhi,Delhi
261,26,9/17/2023,Delivered,EMI,Hyderabad,Telangana
262,87,11/13/2023,Delivered,Cash on Delivery,Lucknow,Uttar Pradesh
263,97,3/20/2023,Delivered,Debit Card,Surat,Gujarat
264,178,11/16/2023,Delivered,EMI,Nagpur,Maharashtra
265,113,1/23/2023,Cancelled,UPI,Mumbai,Maharashtra
266,174,5/2/2023,Returned,Cash on Delivery,Chandigarh,Punjab
267,73,8/18/2023,Delivered,Cash on Delivery,Bhopal,Madhya Pradesh
268,62,6/8/2023,Returned,Debit Card,Lucknow,Uttar Pradesh
269,95,12/14/2023,Returned,Net Banking,Hyderabad,Telangana
270,197,5/25/2023,Cancelled,Cash on Delivery,Ahmedabad,Gujarat
271,136,8/3/2023,Delivered,Debit Card,Pune,Maharashtra
272,155,3/12/2023,Shipped,Credit Card,Jaipur,Rajasthan
273,165,9/4/2023,Processing,Cash on Delivery,Nagpur,Maharashtra
274,27,12/31/2023,Delivered,UPI,Hyderabad,Telangana
275,22,3/24/2023,Shipped,Net Banking,Surat,Gujarat
276,132,3/17/2023,Cancelled,Credit Card,Hyderabad,Telangana
277,57,8/19/2023,Processing,Credit Card,Nagpur,Maharashtra
278,107,1/28/2023,Cancelled,Cash on Delivery,Chennai,Tamil Nadu
279,96,5/1/2023,Cancelled,Credit Card,Hyderabad,Telangana
280,96,4/25/2023,Delivered,UPI,Hyderabad,Telangana
281,26,11/29/2023,Processing,Debit Card,Hyderabad,Telangana
282,36,1/20/2023,Shipped,Net Banking,Delhi,Delhi
283,179,3/13/2023,Returned,Net Banking,Bangalore,Karnataka
284,158,1/3/2023,Delivered,Credit Card,Delhi,Delhi
285,66,4/21/2023,Delivered,Cash on Delivery,Surat,Gujarat
286,187,11/8/2023,Cancelled,Credit Card,Bhopal,Madhya Pradesh
287,199,5/28/2023,Delivered,UPI,Ahmedabad,Gujarat
288,32,1/25/2023,Delivered,Net Banking,Chennai,Tamil Nadu
289,164,11/15/2023,Returned,Credit Card,Kolkata,West Bengal
290,29,9/13/2023,Delivered,EMI,Nagpur,Maharashtra
291,132,10/22/2023,Delivered,EMI,Hyderabad,Telangana
292,37,5/30/2023,Cancelled,Credit Card,Bangalore,Karnataka
293,158,6/30/2023,Delivered,Cash on Delivery,Delhi,Delhi
294,107,4/6/2023,Delivered,Cash on Delivery,Chennai,Tamil Nadu
295,93,2/4/2023,Delivered,Net Banking,Lucknow,Uttar Pradesh
296,121,1/23/2023,Cancelled,UPI,Hyderabad,Telangana
297,65,1/9/2023,Processing,Credit Card,Delhi,Delhi
298,89,5/4/2023,Delivered,Cash on Delivery,Chandigarh,Punjab
299,189,6/20/2023,Delivered,Credit Card,Ahmedabad,Gujarat
300,91,10/7/2023,Processing,EMI,Kolkata,West Bengal
301,45,12/17/2023,Returned,EMI,Jaipur,Rajasthan
302,123,11/20/2023,Delivered,Debit Card,Lucknow,Uttar Pradesh
303,17,8/23/2023,Delivered,UPI,Indore,Madhya Pradesh
304,52,1/23/2023,Delivered,Credit Card,Delhi,Delhi
305,81,6/8/2023,Cancelled,Cash on Delivery,Bangalore,Karnataka
306,122,5/10/2023,Delivered,EMI,Pune,Maharashtra
307,49,5/27/2023,Processing,Credit Card,Lucknow,Uttar Pradesh
308,168,6/19/2023,Shipped,Credit Card,Nagpur,Maharashtra
309,95,8/12/2023,Cancelled,EMI,Hyderabad,Telangana
310,113,7/17/2023,Processing,Debit Card,Mumbai,Maharashtra
311,128,12/21/2023,Returned,UPI,Chennai,Tamil Nadu
312,133,5/17/2023,Delivered,EMI,Kolkata,West Bengal
313,109,2/10/2023,Cancelled,Cash on Delivery,Chennai,Tamil Nadu
314,47,10/7/2023,Shipped,UPI,Hyderabad,Telangana
315,27,2/10/2023,Processing,EMI,Hyderabad,Telangana
316,76,6/6/2023,Returned,Cash on Delivery,Hyderabad,Telangana
317,184,8/7/2023,Delivered,EMI,Chandigarh,Punjab
318,114,6/29/2023,Returned,Credit Card,Surat,Gujarat
319,187,6/30/2023,Cancelled,UPI,Bhopal,Madhya Pradesh
320,164,1/30/2023,Delivered,EMI,Kolkata,West Bengal
321,164,7/27/2023,Processing,Cash on Delivery,Kolkata,West Bengal
322,192,12/14/2023,Delivered,Credit Card,Nagpur,Maharashtra
323,37,11/8/2023,Returned,Credit Card,Bangalore,Karnataka
324,33,2/4/2023,Delivered,EMI,Jaipur,Rajasthan
325,94,7/5/2023,Cancelled,Cash on Delivery,Lucknow,Uttar Pradesh
326,9,11/6/2023,Delivered,EMI,Indore,Madhya Pradesh
327,116,7/9/2023,Processing,Net Banking,Mumbai,Maharashtra
328,196,2/9/2023,Delivered,Cash on Delivery,Chennai,Tamil Nadu
329,94,7/23/2023,Processing,EMI,Lucknow,Uttar Pradesh
330,72,5/8/2023,Delivered,Credit Card,Mumbai,Maharashtra
331,189,4/6/2023,Returned,Cash on Delivery,Ahmedabad,Gujarat
332,100,10/15/2023,Delivered,UPI,Jaipur,Rajasthan
333,199,5/14/2023,Returned,Debit Card,Ahmedabad,Gujarat
334,157,5/27/2023,Returned,Debit Card,Surat,Gujarat
335,32,3/11/2023,Delivered,Net Banking,Chennai,Tamil Nadu
336,45,8/16/2023,Delivered,EMI,Jaipur,Rajasthan
337,82,12/8/2023,Processing,EMI,Chennai,Tamil Nadu
338,17,10/9/2023,Shipped,UPI,Indore,Madhya Pradesh
339,41,12/31/2023,Delivered,UPI,Surat,Gujarat
340,131,4/25/2023,Delivered,Debit Card,Pune,Maharashtra
341,36,5/2/2023,Returned,Credit Card,Delhi,Delhi
342,93,10/11/2023,Processing,Net Banking,Lucknow,Uttar Pradesh
343,142,3/8/2023,Delivered,Credit Card,Mumbai,Maharashtra
344,80,7/23/2023,Returned,Cash on Delivery,Hyderabad,Telangana
345,106,7/29/2023,Delivered,Debit Card,Chennai,Tamil Nadu
346,82,11/25/2023,Delivered,Net Banking,Chennai,Tamil Nadu
347,120,12/15/2023,Processing,Debit Card,Nagpur,Maharashtra
348,200,10/10/2023,Delivered,Debit Card,Mumbai,Maharashtra
349,111,9/15/2023,Delivered,Credit Card,Jaipur,Rajasthan
350,133,3/20/2023,Shipped,Debit Card,Kolkata,West Bengal
351,42,6/15/2023,Delivered,UPI,Bhopal,Madhya Pradesh
352,133,5/26/2023,Delivered,UPI,Kolkata,West Bengal
353,51,11/22/2023,Shipped,Debit Card,Hyderabad,Telangana
354,161,6/5/2023,Delivered,Cash on Delivery,Chandigarh,Punjab
355,165,3/28/2023,Delivered,Debit Card,Nagpur,Maharashtra
356,169,11/16/2023,Processing,Cash on Delivery,Bhopal,Madhya Pradesh
357,11,1/15/2023,Delivered,Credit Card,Delhi,Delhi
358,165,10/23/2023,Shipped,EMI,Nagpur,Maharashtra
359,54,10/20/2023,Cancelled,Cash on Delivery,Bhopal,Madhya Pradesh
360,164,1/16/2023,Returned,EMI,Kolkata,West Bengal
361,140,5/29/2023,Shipped,Net Banking,Jaipur,Rajasthan
362,63,12/17/2023,Cancelled,UPI,Indore,Madhya Pradesh
363,117,2/7/2023,Delivered,Debit Card,Jaipur,Rajasthan
364,113,8/1/2023,Returned,Net Banking,Mumbai,Maharashtra
365,53,6/24/2023,Delivered,UPI,Chandigarh,Punjab
366,184,6/13/2023,Processing,Net Banking,Chandigarh,Punjab
367,34,7/9/2023,Delivered,UPI,Kolkata,West Bengal
368,62,8/27/2023,Delivered,UPI,Lucknow,Uttar Pradesh
369,116,5/7/2023,Delivered,Credit Card,Mumbai,Maharashtra
370,13,5/29/2023,Cancelled,Cash on Delivery,Bhopal,Madhya Pradesh
371,108,5/8/2023,Delivered,UPI,Indore,Madhya Pradesh
372,148,6/10/2023,Delivered,Debit Card,Indore,Madhya Pradesh
373,128,9/21/2023,Returned,Net Banking,Chennai,Tamil Nadu
374,79,9/12/2023,Delivered,Credit Card,Bangalore,Karnataka
375,101,9/16/2023,Returned,Debit Card,Bangalore,Karnataka
376,56,10/26/2023,Processing,Credit Card,Chandigarh,Punjab
377,13,5/25/2023,Returned,Cash on Delivery,Bhopal,Madhya Pradesh
378,168,12/11/2023,Returned,UPI,Nagpur,Maharashtra
379,138,1/5/2023,Delivered,Net Banking,Delhi,Delhi
380,35,5/16/2023,Processing,Net Banking,Hyderabad,Telangana
381,94,1/24/2023,Cancelled,Credit Card,Lucknow,Uttar Pradesh
382,146,10/15/2023,Delivered,UPI,Indore,Madhya Pradesh
383,142,5/28/2023,Delivered,Net Banking,Mumbai,Maharashtra
384,130,8/19/2023,Shipped,Cash on Delivery,Hyderabad,Telangana
385,175,11/9/2023,Delivered,Debit Card,Ahmedabad,Gujarat
386,25,7/21/2023,Processing,UPI,Kolkata,West Bengal
387,143,7/7/2023,Delivered,Debit Card,Surat,Gujarat
388,155,9/18/2023,Cancelled,Cash on Delivery,Jaipur,Rajasthan
389,11,1/24/2023,Delivered,Debit Card,Delhi,Delhi
390,183,6/20/2023,Returned,Cash on Delivery,Kolkata,West Bengal
391,117,3/18/2023,Delivered,UPI,Jaipur,Rajasthan
392,157,6/13/2023,Delivered,Net Banking,Surat,Gujarat
393,158,6/3/2023,Processing,Cash on Delivery,Delhi,Delhi
394,131,9/30/2023,Returned,EMI,Pune,Maharashtra
395,145,6/3/2023,Returned,Credit Card,Lucknow,Uttar Pradesh
396,95,6/19/2023,Delivered,Net Banking,Hyderabad,Telangana
397,150,6/7/2023,Delivered,Cash on Delivery,Surat,Gujarat
398,122,5/16/2023,Delivered,EMI,Pune,Maharashtra
399,14,10/26/2023,Returned,Debit Card,Jaipur,Rajasthan
400,135,11/19/2023,Cancelled,Debit Card,Kolkata,West Bengal
401,175,5/5/2023,Delivered,Cash on Delivery,Ahmedabad,Gujarat
402,180,2/26/2023,Delivered,Credit Card,Indore,Madhya Pradesh
403,113,6/10/2023,Cancelled,Debit Card,Mumbai,Maharashtra
